10:31:01 title=Rebirth, hasThumbnail=True
10:34:59 title=Rebirth, hasThumbnail=True
10:35:02 title=Rebirth, hasThumbnail=True
10:35:05 title=Rebirth, hasThumbnail=True
10:35:08 title=Rebirth, hasThumbnail=True
10:35:11 title=Rebirth, hasThumbnail=True
10:35:14 title=Rebirth, hasThumbnail=True
10:35:18 title=Rebirth, hasThumbnail=True
10:35:21 title=Rebirth, hasThumbnail=True
10:35:24 title=Rebirth, hasThumbnail=True
10:35:27 title=Rebirth, hasThumbnail=True
10:35:30 title=Rebirth, hasThumbnail=True
10:35:33 title=Rebirth, hasThumbnail=True
10:35:36 title=Rebirth, hasThumbnail=True
10:35:39 title=Rebirth, hasThumbnail=True
10:35:43 title=Rebirth, hasThumbnail=True
10:35:46 title=Rebirth, hasThumbnail=True
10:35:49 title=Rebirth, hasThumbnail=True
10:35:52 title=Rebirth, hasThumbnail=True
10:35:55 title=Rebirth, hasThumbnail=True
10:35:58 title=Rebirth, hasThumbnail=True
10:36:01 title=Rebirth, hasThumbnail=True
10:36:05 title=Rebirth, hasThumbnail=True
10:36:08 title=Rebirth, hasThumbnail=True
10:36:11 title=Rebirth, hasThumbnail=True
10:36:14 title=Rebirth, hasThumbnail=True
10:36:17 title=Rebirth, hasThumbnail=True
10:36:20 title=Rebirth, hasThumbnail=True
10:36:23 title=Rebirth, hasThumbnail=True
10:36:26 title=Rebirth, hasThumbnail=True
10:36:30 title=Rebirth, hasThumbnail=True
10:36:33 title=Rebirth, hasThumbnail=True
10:36:36 title=Rebirth, hasThumbnail=True
10:36:39 title=Rebirth, hasThumbnail=True
10:36:42 title=Rebirth, hasThumbnail=True
10:36:45 title=Rebirth, hasThumbnail=True
10:36:48 title=Rebirth, hasThumbnail=True
10:36:52 title=Rebirth, hasThumbnail=True
10:36:55 title=Rebirth, hasThumbnail=True
10:36:58 title=Rebirth, hasThumbnail=True
10:37:01 title=Rebirth, hasThumbnail=True
10:37:04 title=Rebirth, hasThumbnail=True
10:37:07 title=Rebirth, hasThumbnail=True
10:37:10 title=Rebirth, hasThumbnail=True
10:37:13 title=Rebirth, hasThumbnail=True
10:37:17 title=Rebirth, hasThumbnail=True
10:37:20 title=Rebirth, hasThumbnail=True
10:37:23 title=Rebirth, hasThumbnail=True
10:37:26 title=Rebirth, hasThumbnail=True
10:37:29 title=Rebirth, hasThumbnail=True
10:37:32 title=Rebirth, hasThumbnail=True
10:37:35 title=Rebirth, hasThumbnail=True
10:37:38 title=Rebirth, hasThumbnail=True
10:37:42 title=Rebirth, hasThumbnail=True
10:37:45 title=Rebirth, hasThumbnail=True
10:37:48 title=Lost & Found, hasThumbnail=True
10:37:48 extracting thumbnail...
10:37:48 stream size: 22635
10:37:48 read 22635 bytes
10:37:48 saved: F:\1123\cmdwallpaper\album_art.jpg
10:37:51 title=Lost & Found, hasThumbnail=True
10:37:54 title=Lost & Found, hasThumbnail=True
10:37:57 title=Lost & Found, hasThumbnail=True
10:38:00 title=Lost & Found, hasThumbnail=True
10:38:04 title=Lost & Found, hasThumbnail=True
10:38:07 title=Lost & Found, hasThumbnail=True
10:38:10 title=Lost & Found, hasThumbnail=True
10:38:13 title=Lost & Found, hasThumbnail=True
10:38:16 title=Lost & Found, hasThumbnail=True
10:38:19 title=Lost & Found, hasThumbnail=True
10:38:22 title=Lost & Found, hasThumbnail=True
10:38:26 title=Lost & Found, hasThumbnail=True
10:38:29 title=Lost & Found, hasThumbnail=True
10:38:32 title=Lost & Found, hasThumbnail=True
10:38:35 title=Lost & Found, hasThumbnail=True
10:38:38 title=Lost & Found, hasThumbnail=True
10:38:41 title=Lost & Found, hasThumbnail=True
10:38:44 title=Lost & Found, hasThumbnail=True
10:38:47 title=Lost & Found, hasThumbnail=True
10:38:51 title=Lost & Found, hasThumbnail=True
10:38:54 title=Lost & Found, hasThumbnail=True
10:38:57 title=Lost & Found, hasThumbnail=True
10:39:00 title=Lost & Found, hasThumbnail=True
10:39:03 title=Lost & Found, hasThumbnail=True
10:39:06 title=Lost & Found, hasThumbnail=True
10:39:09 title=Lost & Found, hasThumbnail=True
10:39:13 title=Lost & Found, hasThumbnail=True
10:39:16 title=Lost & Found, hasThumbnail=True
10:39:19 title=Lost & Found, hasThumbnail=True
10:39:22 title=Lost & Found, hasThumbnail=True
10:39:25 title=Lost & Found, hasThumbnail=True
10:39:28 title=Lost & Found, hasThumbnail=True
10:39:31 title=Lost & Found, hasThumbnail=True
10:39:34 title=Lost & Found, hasThumbnail=True
10:39:38 title=Lost & Found, hasThumbnail=True
10:39:41 title=Lost & Found, hasThumbnail=True
10:39:44 title=Lost & Found, hasThumbnail=True
10:39:47 title=Lost & Found, hasThumbnail=True
10:39:50 title=Lost & Found, hasThumbnail=True
10:39:53 title=Lost & Found, hasThumbnail=True
10:39:56 title=Lost & Found, hasThumbnail=True
10:40:00 title=Lost & Found, hasThumbnail=True
10:40:03 title=Lost & Found, hasThumbnail=True
10:40:06 title=Lost & Found, hasThumbnail=True
10:40:09 title=Lost & Found, hasThumbnail=True
10:40:12 title=Lost & Found, hasThumbnail=True
10:40:15 title=Lost & Found, hasThumbnail=True
10:40:18 title=Lost & Found, hasThumbnail=True
10:40:21 title=Lost & Found, hasThumbnail=True
10:40:25 title=Lost & Found, hasThumbnail=True
10:40:28 title=Lost & Found, hasThumbnail=True
10:40:31 title=Lost & Found, hasThumbnail=True
10:40:34 title=Lost & Found, hasThumbnail=True
10:40:37 title=Lost & Found, hasThumbnail=True
10:40:40 title=Lost & Found, hasThumbnail=True
10:40:43 title=Lost & Found, hasThumbnail=True
10:40:47 title=Lost & Found, hasThumbnail=True
10:40:50 title=Lost & Found, hasThumbnail=True
10:40:53 title=Lost & Found, hasThumbnail=True
10:40:56 title=Lost & Found, hasThumbnail=True
10:40:59 title=Lost & Found, hasThumbnail=True
10:41:02 title=Lost & Found, hasThumbnail=True
10:41:05 title=Lost & Found, hasThumbnail=True
10:41:08 title=Lost & Found, hasThumbnail=True
10:41:12 title=Lost & Found, hasThumbnail=True
10:41:15 title=Lost & Found, hasThumbnail=True
10:41:18 title=Lost & Found, hasThumbnail=True
10:41:21 title=Lost & Found, hasThumbnail=True
10:41:24 title=Lost & Found, hasThumbnail=True
10:41:27 title=Lost & Found, hasThumbnail=True
10:41:30 title=Lost & Found, hasThumbnail=True
10:41:34 title=Lost & Found, hasThumbnail=True
10:41:37 title=Lost & Found, hasThumbnail=True
10:41:40 title=Lost & Found, hasThumbnail=True
10:41:43 title=Lost & Found, hasThumbnail=True
10:41:46 title=Lost & Found, hasThumbnail=True
10:41:49 title=Until It's Gone, hasThumbnail=True
10:41:49 extracting thumbnail...
10:41:49 stream size: 11102
10:41:49 read 11102 bytes
10:41:49 saved: F:\1123\cmdwallpaper\album_art.jpg
10:41:52 title=Until It's Gone, hasThumbnail=True
10:41:56 title=Until It's Gone, hasThumbnail=True
10:41:59 title=Until It's Gone, hasThumbnail=True
10:42:02 title=Until It's Gone, hasThumbnail=True
10:42:05 title=Until It's Gone, hasThumbnail=True
10:42:08 title=Until It's Gone, hasThumbnail=True
10:42:11 title=Until It's Gone, hasThumbnail=True
10:42:14 title=Until It's Gone, hasThumbnail=True
10:42:17 title=Until It's Gone, hasThumbnail=True
10:42:21 title=Until It's Gone, hasThumbnail=True
10:42:24 title=Until It's Gone, hasThumbnail=True
10:42:27 title=Until It's Gone, hasThumbnail=True
10:42:30 title=Until It's Gone, hasThumbnail=True
10:42:33 title=Until It's Gone, hasThumbnail=True
10:42:36 title=Until It's Gone, hasThumbnail=True
10:42:39 title=Until It's Gone, hasThumbnail=True
10:42:43 title=Until It's Gone, hasThumbnail=True
10:42:46 title=Until It's Gone, hasThumbnail=True
10:42:49 title=Until It's Gone, hasThumbnail=True
10:42:52 title=Until It's Gone, hasThumbnail=True
10:42:55 title=Until It's Gone, hasThumbnail=True
10:42:58 title=Until It's Gone, hasThumbnail=True
10:43:01 title=Until It's Gone, hasThumbnail=True
10:43:04 title=Until It's Gone, hasThumbnail=True
10:43:08 title=Until It's Gone, hasThumbnail=True
10:43:11 title=Until It's Gone, hasThumbnail=True
10:43:14 title=Until It's Gone, hasThumbnail=True
10:43:17 title=Until It's Gone, hasThumbnail=True
10:43:20 title=Until It's Gone, hasThumbnail=True
10:43:23 title=Until It's Gone, hasThumbnail=True
10:43:26 title=Until It's Gone, hasThumbnail=True
10:43:29 title=Until It's Gone, hasThumbnail=True
10:43:33 title=Until It's Gone, hasThumbnail=True
10:43:36 title=Until It's Gone, hasThumbnail=True
10:43:39 title=Until It's Gone, hasThumbnail=True
10:43:42 title=Until It's Gone, hasThumbnail=True
10:43:45 title=Until It's Gone, hasThumbnail=True
10:43:48 title=Until It's Gone, hasThumbnail=True
10:43:51 title=Until It's Gone, hasThumbnail=True
10:43:55 title=Until It's Gone, hasThumbnail=True
10:43:58 title=Until It's Gone, hasThumbnail=True
10:44:01 title=Until It's Gone, hasThumbnail=True
10:44:04 title=Until It's Gone, hasThumbnail=True
10:44:07 title=Until It's Gone, hasThumbnail=True
10:44:10 title=Until It's Gone, hasThumbnail=True
10:44:13 title=Until It's Gone, hasThumbnail=True
10:44:16 title=Until It's Gone, hasThumbnail=True
10:44:20 title=Until It's Gone, hasThumbnail=True
10:44:23 title=Until It's Gone, hasThumbnail=True
10:44:26 title=Until It's Gone, hasThumbnail=True
10:44:29 title=Until It's Gone, hasThumbnail=True
10:44:32 title=Until It's Gone, hasThumbnail=True
10:44:35 title=Until It's Gone, hasThumbnail=True
10:44:38 title=Until It's Gone, hasThumbnail=True
10:44:42 title=Until It's Gone, hasThumbnail=True
10:44:45 title=Until It's Gone, hasThumbnail=True
10:44:48 title=Until It's Gone, hasThumbnail=True
10:44:51 title=Until It's Gone, hasThumbnail=True
10:44:54 title=Until It's Gone, hasThumbnail=True
10:44:57 title=Until It's Gone, hasThumbnail=True
10:45:00 title=Until It's Gone, hasThumbnail=True
10:45:03 title=Until It's Gone, hasThumbnail=True
10:45:07 title=Until It's Gone, hasThumbnail=True
10:45:10 title=Until It's Gone, hasThumbnail=True
10:45:13 title=Until It's Gone, hasThumbnail=True
10:45:16 title=Until It's Gone, hasThumbnail=True
10:45:19 title=Until It's Gone, hasThumbnail=True
10:45:22 title=Until It's Gone, hasThumbnail=True
10:45:25 title=Until It's Gone, hasThumbnail=True
10:45:29 title=Until It's Gone, hasThumbnail=True
10:45:32 title=Until It's Gone, hasThumbnail=True
10:45:35 title=Until It's Gone, hasThumbnail=True
10:45:38 title=Until It's Gone, hasThumbnail=True
10:45:41 title=Loveless Generation (Explicit), hasThumbnail=True
10:45:41 extracting thumbnail...
10:45:41 stream size: 31334
10:45:41 read 31334 bytes
10:45:41 saved: F:\1123\cmdwallpaper\album_art.jpg
10:45:44 title=Loveless Generation (Explicit), hasThumbnail=True
10:45:47 title=Loveless Generation (Explicit), hasThumbnail=True
10:45:51 title=Loveless Generation (Explicit), hasThumbnail=True
10:45:54 title=Loveless Generation (Explicit), hasThumbnail=True
10:45:57 title=Loveless Generation (Explicit), hasThumbnail=True
10:46:00 title=Loveless Generation (Explicit), hasThumbnail=True
10:46:03 title=Loveless Generation (Explicit), hasThumbnail=True
10:46:06 title=Loveless Generation (Explicit), hasThumbnail=True
10:46:09 title=Loveless Generation (Explicit), hasThumbnail=True
10:46:12 title=Loveless Generation (Explicit), hasThumbnail=True
10:46:16 title=Loveless Generation (Explicit), hasThumbnail=True
10:46:19 title=Loveless Generation (Explicit), hasThumbnail=True
10:46:22 title=Loveless Generation (Explicit), hasThumbnail=True
10:46:25 title=Loveless Generation (Explicit), hasThumbnail=True
10:46:28 title=Loveless Generation (Explicit), hasThumbnail=True
10:46:31 title=Loveless Generation (Explicit), hasThumbnail=True
10:46:34 title=Loveless Generation (Explicit), hasThumbnail=True
10:46:38 title=Loveless Generation (Explicit), hasThumbnail=True
10:46:41 title=Loveless Generation (Explicit), hasThumbnail=True
10:46:44 title=Loveless Generation (Explicit), hasThumbnail=True
10:46:47 title=Loveless Generation (Explicit), hasThumbnail=True
10:46:47 started, dir=F:\1123\cmdwallpaper
10:46:47 title=Loveless Generation (Explicit), hasThumbnail=True
10:46:47 extracting thumbnail...
10:46:47 stream size: 31334
10:46:47 read 31334 bytes
10:46:47 saved: F:\1123\cmdwallpaper\album_art.jpg
10:46:50 title=Loveless Generation (Explicit), hasThumbnail=True
10:46:50 title=Loveless Generation (Explicit), hasThumbnail=True
10:46:53 title=Loveless Generation (Explicit), hasThumbnail=True
10:46:54 title=Loveless Generation (Explicit), hasThumbnail=True
10:46:56 title=Loveless Generation (Explicit), hasThumbnail=True
10:46:57 title=Loveless Generation (Explicit), hasThumbnail=True
10:46:59 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:00 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:03 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:03 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:06 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:06 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:09 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:09 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:12 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:12 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:15 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:16 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:18 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:19 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:21 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:22 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:24 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:25 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:28 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:28 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:31 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:31 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:34 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:34 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:37 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:37 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:40 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:41 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:43 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:44 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:46 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:47 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:50 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:50 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:53 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:53 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:56 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:56 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:59 title=Loveless Generation (Explicit), hasThumbnail=True
10:47:59 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:02 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:03 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:05 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:06 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:08 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:09 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:11 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:12 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:15 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:15 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:18 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:18 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:21 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:21 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:24 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:24 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:27 started, dir=F:\1123\cmdwallpaper
10:48:27 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:27 extracting thumbnail...
10:48:27 stream size: 31334
10:48:27 read 31334 bytes
10:48:27 saved: F:\1123\cmdwallpaper\album_art.jpg
10:48:27 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:28 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:30 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:30 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:31 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:33 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:33 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:34 title=Loveless Generation (Explicit), hasThumbnail=True
10:48:36 title=Love Like This, hasThumbnail=True
10:48:36 extracting thumbnail...
10:48:36 stream size: 47826
10:48:36 read 47826 bytes
10:48:36 saved: F:\1123\cmdwallpaper\album_art.jpg
10:48:37 title=Love Like This, hasThumbnail=True
10:48:37 extracting thumbnail...
10:48:37 stream size: 47826
10:48:37 read 47826 bytes
10:48:37 saved: F:\1123\cmdwallpaper\album_art.jpg
10:48:37 title=Love Like This, hasThumbnail=True
10:48:37 extracting thumbnail...
10:48:37 stream size: 47826
10:48:37 read 47826 bytes
10:48:37 saved: F:\1123\cmdwallpaper\album_art.jpg
10:48:39 title=Love Like This, hasThumbnail=True
10:48:40 title=Love Like This, hasThumbnail=True
10:48:40 title=Love Like This, hasThumbnail=True
10:48:43 title=Love Like This, hasThumbnail=True
10:48:43 title=Love Like This, hasThumbnail=True
10:48:43 title=Love Like This, hasThumbnail=True
10:48:46 title=Love Like This, hasThumbnail=True
10:48:46 title=Love Like This, hasThumbnail=True
10:48:46 title=Love Like This, hasThumbnail=True
10:48:49 title=Love Like This, hasThumbnail=True
10:48:49 title=Love Like This, hasThumbnail=True
10:48:50 title=Love Like This, hasThumbnail=True
10:48:52 title=Love Like This, hasThumbnail=True
10:48:52 title=Love Like This, hasThumbnail=True
10:48:53 title=Love Like This, hasThumbnail=True
10:48:55 title=Love Like This, hasThumbnail=True
10:48:55 title=Love Like This, hasThumbnail=True
10:48:56 title=Love Like This, hasThumbnail=True
10:48:58 title=Love Like This, hasThumbnail=True
10:48:59 title=Love Like This, hasThumbnail=True
10:48:59 title=Love Like This, hasThumbnail=True
10:49:01 title=Love Like This, hasThumbnail=True
10:49:02 title=Love Like This, hasThumbnail=True
10:49:02 title=Love Like This, hasThumbnail=True
10:49:05 title=Love Like This, hasThumbnail=True
10:49:05 title=Love Like This, hasThumbnail=True
10:49:05 title=Love Like This, hasThumbnail=True
10:49:08 title=Love Like This, hasThumbnail=True
10:49:08 title=Love Like This, hasThumbnail=True
10:49:08 title=Love Like This, hasThumbnail=True
10:49:11 title=Love Like This, hasThumbnail=True
10:49:11 title=Love Like This, hasThumbnail=True
10:49:12 title=Love Like This, hasThumbnail=True
10:49:14 title=Love Like This, hasThumbnail=True
10:49:14 title=Love Like This, hasThumbnail=True
10:49:15 title=Love Like This, hasThumbnail=True
10:49:17 title=Love Like This, hasThumbnail=True
10:49:18 title=Love Like This, hasThumbnail=True
10:49:20 title=Love Like This, hasThumbnail=True
10:49:21 title=Love Like This, hasThumbnail=True
10:49:24 title=Love Like This, hasThumbnail=True
10:49:24 title=Love Like This, hasThumbnail=True
10:49:27 title=Love Like This, hasThumbnail=True
10:49:27 title=Love Like This, hasThumbnail=True
10:49:30 title=Love Like This, hasThumbnail=True
10:49:30 title=Love Like This, hasThumbnail=True
10:49:33 title=Love Like This, hasThumbnail=True
10:49:33 title=Love Like This, hasThumbnail=True
10:49:36 title=Love Like This, hasThumbnail=True
10:49:37 title=Love Like This, hasThumbnail=True
10:49:39 title=Love Like This, hasThumbnail=True
10:49:40 title=Love Like This, hasThumbnail=True
10:49:42 title=Love Like This, hasThumbnail=True
10:49:43 title=Love Like This, hasThumbnail=True
10:49:45 title=Love Like This, hasThumbnail=True
10:49:46 title=Love Like This, hasThumbnail=True
10:49:49 title=Love Like This, hasThumbnail=True
10:49:49 title=Love Like This, hasThumbnail=True
10:49:52 title=Love Like This, hasThumbnail=True
10:49:52 title=Love Like This, hasThumbnail=True
10:49:55 title=Love Like This, hasThumbnail=True
10:49:55 title=Love Like This, hasThumbnail=True
10:49:58 title=Love Like This, hasThumbnail=True
10:49:58 title=Love Like This, hasThumbnail=True
10:50:01 title=Love Like This, hasThumbnail=True
10:50:02 title=Love Like This, hasThumbnail=True
10:50:04 title=Love Like This, hasThumbnail=True
10:50:05 title=Love Like This, hasThumbnail=True
10:50:07 title=Love Like This, hasThumbnail=True
10:50:08 title=Love Like This, hasThumbnail=True
10:50:11 title=Love Like This, hasThumbnail=True
10:50:11 title=Love Like This, hasThumbnail=True
10:50:14 title=Love Like This, hasThumbnail=True
10:50:14 title=Love Like This, hasThumbnail=True
10:50:17 title=Love Like This, hasThumbnail=True
10:50:17 title=Love Like This, hasThumbnail=True
10:50:20 title=Love Like This, hasThumbnail=True
10:50:20 title=Love Like This, hasThumbnail=True
10:50:23 title=Love Like This, hasThumbnail=True
10:50:23 title=Love Like This, hasThumbnail=True
10:50:26 title=Love Like This, hasThumbnail=True
10:50:27 title=Love Like This, hasThumbnail=True
10:50:29 title=Love Like This, hasThumbnail=True
10:50:30 title=Love Like This, hasThumbnail=True
10:50:32 title=Love Like This, hasThumbnail=True
10:50:33 title=Love Like This, hasThumbnail=True
10:50:36 title=Love Like This, hasThumbnail=True
10:50:36 title=Love Like This, hasThumbnail=True
10:50:39 title=Love Like This, hasThumbnail=True
10:50:39 title=Love Like This, hasThumbnail=True
10:50:42 title=Love Like This, hasThumbnail=True
10:50:42 title=Love Like This, hasThumbnail=True
10:50:45 title=Love Like This, hasThumbnail=True
10:50:45 title=Love Like This, hasThumbnail=True
10:50:48 title=Love Like This, hasThumbnail=True
10:50:49 title=Love Like This, hasThumbnail=True
10:50:51 title=Love Like This, hasThumbnail=True
10:50:52 title=Love Like This, hasThumbnail=True
10:50:54 title=Love Like This, hasThumbnail=True
10:50:55 title=Love Like This, hasThumbnail=True
10:50:58 title=Love Like This, hasThumbnail=True
10:50:58 title=Love Like This, hasThumbnail=True
10:51:01 title=Love Like This, hasThumbnail=True
10:51:01 title=Love Like This, hasThumbnail=True
10:51:04 title=Love Like This, hasThumbnail=True
10:51:04 title=Love Like This, hasThumbnail=True
10:51:07 title=Love Like This, hasThumbnail=True
10:51:07 title=Love Like This, hasThumbnail=True
10:51:10 title=Love Like This, hasThumbnail=True
10:51:11 title=Love Like This, hasThumbnail=True
10:51:13 title=Love Like This, hasThumbnail=True
10:51:14 title=Love Like This, hasThumbnail=True
10:51:16 title=Closer, hasThumbnail=False
10:51:17 title=Closer, hasThumbnail=True
10:51:17 extracting thumbnail...
10:51:17 stream size: 15241
10:51:17 read 15241 bytes
10:51:17 saved: F:\1123\cmdwallpaper\album_art.jpg
10:51:19 title=Closer, hasThumbnail=True
10:51:19 extracting thumbnail...
10:51:20 stream size: 15241
10:51:20 read 15241 bytes
10:51:20 saved: F:\1123\cmdwallpaper\album_art.jpg
10:51:20 title=Closer, hasThumbnail=True
10:51:23 title=Closer, hasThumbnail=True
10:51:23 title=Closer, hasThumbnail=True
10:51:26 title=Closer, hasThumbnail=True
10:51:26 title=Closer, hasThumbnail=True
10:51:29 title=Closer, hasThumbnail=True
10:51:29 title=Closer, hasThumbnail=True
10:51:32 title=Closer, hasThumbnail=True
10:51:33 title=Closer, hasThumbnail=True
10:51:35 title=Closer, hasThumbnail=True
10:51:36 title=Closer, hasThumbnail=True
10:51:38 title=Closer, hasThumbnail=True
10:51:39 title=Closer, hasThumbnail=True
10:51:41 title=Closer, hasThumbnail=True
10:51:42 title=Closer, hasThumbnail=True
10:51:45 title=Closer, hasThumbnail=True
10:51:45 title=Closer, hasThumbnail=True
10:51:48 title=Closer, hasThumbnail=True
10:51:48 title=Closer, hasThumbnail=True
10:51:51 title=Closer, hasThumbnail=True
